"","Country","Year","Variable","Value","population","comorbidity","value_population_ratio","Normalized Values pop","standard daviation"
"Acute myocardial infarction.149","Australia",2015,"Acute myocardial infarction",8463,NA,0,0.000355349419581252,0.0478066381877296,6.42303451561644e-05
"Acute myocardial infarction.150","Australia",2016,"Acute myocardial infarction",8032,NA,0,0.000332025583001084,-0.315321358765431,6.42303451561644e-05
"Acute myocardial infarction.151","Australia",2017,"Acute myocardial infarction",7847,NA,0,0.00031895962337807,-0.518744827707511,6.42303451561644e-05
"Acute myocardial infarction.152","Australia",2018,"Acute myocardial infarction",7354,NA,0,0.000294363841072666,-0.901675703224427,6.42303451561644e-05
"Acute myocardial infarction.153","Australia",2019,"Acute myocardial infarction",7101,NA,0,0.000279944468415968,-1.12617041240962,6.42303451561644e-05
"Acute myocardial infarction.154","Australia",2020,"Acute myocardial infarction",6519,NA,1,0.000253724059303163,-1.53439504593845,6.42303451561644e-05
"All causes of death.1","Australia",2010,"All causes of death",143473,22031750,0,0.00651210185300759,0.0569717311736454,0.000124876818731656
"All causes of death.2","Australia",2011,"All causes of death",146932,22340024,0,0.00657707440242678,0.577264849456951,0.000124876818731656
"All causes of death.3","Australia",2012,"All causes of death",147098,22733465,0,0.00647054903421014,-0.275778728194987,0.000124876818731656
"All causes of death.4","Australia",2013,"All causes of death",147678,23128129,0,0.00638521170476004,-0.959150792897267,0.000124876818731656
"All causes of death.5","Australia",2014,"All causes of death",153580,23475686,0,0.00654208784356717,0.297096286428489,0.000124876818731656
"All causes of death.6","Australia",2015,"All causes of death",159052,23815995,0,0.00667836888612044,1.38842007203935,0.000124876818731656
"All causes of death.7","Australia",2016,"All causes of death",158504,24190907,0,0.00655221401992079,0.378185606740058,0.000124876818731656
"All causes of death.8","Australia",2017,"All causes of death",161084,24601860,0,0.00654763501621422,0.341517442439614,0.000124876818731656
"All causes of death.9","Australia",2018,"All causes of death",158659,24982688,0,0.00635075777274247,-1.23505413802975,0.000124876818731656
"All causes of death.10","Australia",2019,"All causes of death",168960,25365745,0,0.00666095161013406,1.24894441784441,0.000124876818731656
"All causes of death.11","Australia",2020,"All causes of death",161300,25693267,1,0.0062779093059672,-1.81841674700051,0.000124876818731656
"Alzheimer's disease.463","Australia",2010,"Alzheimer's disease",2706,NA,0,0.000122822744448353,-1.651733953486,2.05797381055325e-05
"Alzheimer's disease.464","Australia",2011,"Alzheimer's disease",2987,NA,0,0.000133706212670139,-1.12289008939135,2.05797381055325e-05
"Alzheimer's disease.465","Australia",2012,"Alzheimer's disease",3046,NA,0,0.000133987493767448,-1.1092222236553,2.05797381055325e-05
"Alzheimer's disease.466","Australia",2013,"Alzheimer's disease",3330,NA,0,0.000143980518268469,-0.62364634072732,2.05797381055325e-05
"Alzheimer's disease.467","Australia",2014,"Alzheimer's disease",3635,NA,0,0.000154841055549985,-0.0959167250333064,2.05797381055325e-05
"Alzheimer's disease.468","Australia",2015,"Alzheimer's disease",3833,NA,0,0.000160942257503833,0.200549727676705,2.05797381055325e-05
"Alzheimer's disease.469","Australia",2016,"Alzheimer's disease",3991,NA,0,0.000164979345338312,0.396717813673587,2.05797381055325e-05
"Alzheimer's disease.470","Australia",2017,"Alzheimer's disease",4283,NA,0,0.000174092527963333,0.839540874797503,2.05797381055325e-05
"Alzheimer's disease.471","Australia",2018,"Alzheimer's disease",4308,NA,0,0.000172439410843221,0.759213461900654,2.05797381055325e-05
"Alzheimer's disease.472","Australia",2019,"Alzheimer's disease",4578,NA,0,0.000180479619266061,1.1498991150227,2.05797381055325e-05
"Alzheimer's disease.473","Australia",2020,"Alzheimer's disease",4694,NA,1,0.000182693777323063,1.25748833922212,2.05797381055325e-05
"Assault.331","Australia",2010,"Assault",244,NA,0,1.10749259591272e-05,0.391121165472066,1.20172647841416e-06
"Assault.332","Australia",2011,"Assault",243,NA,0,1.0877338359171e-05,0.226701388172204,1.20172647841416e-06
"Assault.333","Australia",2012,"Assault",285,NA,0,1.25365842822465e-05,1.60741984023219,1.20172647841416e-06
"Assault.334","Australia",2013,"Assault",248,NA,0,1.07228734326067e-05,0.0981655446680082,1.20172647841416e-06
"Assault.335","Australia",2014,"Assault",272,NA,0,1.15864558760924e-05,0.816783681987687,1.20172647841416e-06
"Assault.336","Australia",2015,"Assault",282,NA,0,1.18407817939162e-05,1.02841746254601,1.20172647841416e-06
"Assault.337","Australia",2016,"Assault",262,NA,0,1.08305157801648e-05,0.187738629302217,1.20172647841416e-06
"Assault.338","Australia",2017,"Assault",209,NA,0,8.49529263234568e-06,-1.75548488267431,1.20172647841416e-06
"Assault.339","Australia",2018,"Assault",245,NA,0,9.80679100663628e-06,-0.664139723981221,1.20172647841416e-06
"Assault.340","Australia",2019,"Assault",244,NA,0,9.61927197486216e-06,-0.820181082095898,1.20172647841416e-06
"Assault.341","Australia",2020,"Assault",238,NA,1,9.26312718425415e-06,-1.11654202362895,1.20172647841416e-06
"Asthma.485","Australia",2010,"Asthma",416,NA,0,1.88818409794955e-05,1.39144471024939,1.02943317883657e-06
"Asthma.486","Australia",2011,"Asthma",377,NA,0,1.68755414049689e-05,-0.557491476938596,1.02943317883657e-06
"Asthma.487","Australia",2012,"Asthma",393,NA,0,1.72872899049925e-05,-0.157515540191652,1.02943317883657e-06
"Asthma.488","Australia",2013,"Asthma",390,NA,0,1.68625832206315e-05,-0.570079165585006,1.02943317883657e-06
"Asthma.489","Australia",2014,"Asthma",423,NA,0,1.80186427778937e-05,0.552926757508281,1.02943317883657e-06
"Asthma.490","Australia",2015,"Asthma",426,NA,0,1.78871384546394e-05,0.425182358009814,1.02943317883657e-06
"Asthma.491","Australia",2016,"Asthma",459,NA,0,1.89740715385331e-05,1.48103824670582,1.02943317883657e-06
"Asthma.492","Australia",2017,"Asthma",444,NA,0,1.80474159270884e-05,0.580877235291862,1.02943317883657e-06
"Asthma.493","Australia",2018,"Asthma",392,NA,0,1.5690865610618e-05,-1.70829545208323,1.02943317883657e-06
"Asthma.494","Australia",2019,"Asthma",436,NA,0,1.71885351681963e-05,-0.253446717490383,1.02943317883657e-06
"Asthma.495","Australia",2020,"Asthma",417,NA,1,1.62299329236722e-05,-1.1846409554763,1.02943317883657e-06
"Cerebrovascular diseases.155","Australia",2010,"Cerebrovascular diseases",11216,NA,0,0.000509083481793321,1.47661749332752,4.54940387562579e-05
"Cerebrovascular diseases.156","Australia",2011,"Cerebrovascular diseases",11245,NA,0,0.000503356666044763,1.3507369185287,4.54940387562579e-05
"Cerebrovascular diseases.157","Australia",2012,"Cerebrovascular diseases",10785,NA,0,0.000474410742049221,0.714479404645946,4.54940387562579e-05
"Cerebrovascular diseases.158","Australia",2013,"Cerebrovascular diseases",10543,NA,0,0.000455851833064404,0.306537848077408,4.54940387562579e-05
"Cerebrovascular diseases.159","Australia",2014,"Cerebrovascular diseases",10729,NA,0,0.000457026048141895,0.332348154429447,4.54940387562579e-05
"Cerebrovascular diseases.160","Australia",2015,"Cerebrovascular diseases",10867,NA,0,0.000456289984944992,0.316168821553631,4.54940387562579e-05
"Cerebrovascular diseases.161","Australia",2016,"Cerebrovascular diseases",10466,NA,0,0.000432641901355745,-0.203637382418399,4.54940387562579e-05
"Cerebrovascular diseases.162","Australia",2017,"Cerebrovascular diseases",10190,NA,0,0.000414196324993313,-0.60908778573952,4.54940387562579e-05
"Cerebrovascular diseases.163","Australia",2018,"Cerebrovascular diseases",9983,NA,0,0.000399596712731632,-0.930000429699337,4.54940387562579e-05
"Cerebrovascular diseases.164","Australia",2019,"Cerebrovascular diseases",9891,NA,0,0.000389935324194105,-1.14236646273698,4.54940387562579e-05
"Cerebrovascular diseases.165","Australia",2020,"Cerebrovascular diseases",9470,NA,1,0.000368579052247423,-1.61179657996842,4.54940387562579e-05
"Certain conditions originating in the pe.254","Australia",2010,"Certain conditions originating in the pe",615,NA,0,2.79142601018984e-05,1.95279818067681,2.21549506647966e-06
"Certain conditions originating in the pe.255","Australia",2011,"Certain conditions originating in the pe",612,NA,0,2.73947780897639e-05,1.71832146258602,2.21549506647966e-06
"Certain conditions originating in the pe.256","Australia",2012,"Certain conditions originating in the pe",512,NA,0,2.25218636930182e-05,-0.481148294974124,2.21549506647966e-06
"Certain conditions originating in the pe.257","Australia",2013,"Certain conditions originating in the pe",559,NA,0,2.41697026162384e-05,0.262630803500056,2.21549506647966e-06
"Certain conditions originating in the pe.258","Australia",2014,"Certain conditions originating in the pe",546,NA,0,2.32581062806855e-05,-0.148833139410661,2.21549506647966e-06
"Certain conditions originating in the pe.259","Australia",2015,"Certain conditions originating in the pe",549,NA,0,2.30517347690071e-05,-0.241982302683797,2.21549506647966e-06
"Certain conditions originating in the pe.260","Australia",2016,"Certain conditions originating in the pe",553,NA,0,2.28598291085159e-05,-0.328602066995078,2.21549506647966e-06
"Certain conditions originating in the pe.261","Australia",2017,"Certain conditions originating in the pe",582,NA,0,2.36567479044267e-05,0.0311002893623015,2.21549506647966e-06
"Certain conditions originating in the pe.262","Australia",2018,"Certain conditions originating in the pe",549,NA,0,2.19752173985441e-05,-0.727886056996163,2.21549506647966e-06
"Certain conditions originating in the pe.263","Australia",2019,"Certain conditions originating in the pe",556,NA,0,2.19193246640302e-05,-0.753114158543138,2.21549506647966e-06
"Certain conditions originating in the pe.264","Australia",2020,"Certain conditions originating in the pe",533,NA,1,2.07447344084347e-05,-1.28328471652224,2.21549506647966e-06
"Certain infectious and parasitic disease.12","Australia",2010,"Certain infectious and parasitic disease",2150,NA,0,9.75864377546042e-05,-0.965657202256521,9.70017339948573e-06
"Certain infectious and parasitic disease.13","Australia",2011,"Certain infectious and parasitic disease",2400,NA,0,0.0001074305023128,0.0491766726428092,9.70017339948573e-06
"Certain infectious and parasitic disease.14","Australia",2012,"Certain infectious and parasitic disease",2394,NA,0,0.00010530730797087,-0.169705429201058,9.70017339948573e-06
"Certain infectious and parasitic disease.15","Australia",2013,"Certain infectious and parasitic disease",2682,NA,0,0.000115962687686496,0.928767688422906,9.70017339948573e-06
"Certain infectious and parasitic disease.16","Australia",2014,"Certain infectious and parasitic disease",2735,NA,0,0.000116503517724679,0.984522365778605,9.70017339948573e-06
"Certain infectious and parasitic disease.17","Australia",2015,"Certain infectious and parasitic disease",2857,NA,0,0.000119961395692265,1.34099825803112,9.70017339948573e-06
"Certain infectious and parasitic disease.18","Australia",2016,"Certain infectious and parasitic disease",2832,NA,0,0.000117068781257354,1.04279591506435,9.70017339948573e-06
"Certain infectious and parasitic disease.19","Australia",2017,"Certain infectious and parasitic disease",2650,NA,0,0.000107715432898163,0.0785504347013752,9.70017339948573e-06
"Certain infectious and parasitic disease.20","Australia",2018,"Certain infectious and parasitic disease",2418,NA,0,9.67870230777409e-05,-1.04806961324555,9.70017339948573e-06
"Certain infectious and parasitic disease.21","Australia",2019,"Certain infectious and parasitic disease",2583,NA,0,0.000101830243897824,-0.528159235112506,9.70017339948573e-06
"Certain infectious and parasitic disease.22","Australia",2020,"Certain infectious and parasitic disease",2321,NA,1,9.03349503977054e-05,-1.71321985482552,9.70017339948573e-06
"Chronic liver diseases and cirrhosis.210","Australia",2010,"Chronic liver diseases and cirrhosis",1115,NA,0,5.06087805099459e-05,-0.823940798753856,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.211","Australia",2011,"Chronic liver diseases and cirrhosis",1089,NA,0,4.87465904244328e-05,-1.21282779905219,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.212","Australia",2012,"Chronic liver diseases and cirrhosis",1051,NA,0,4.62314037917229e-05,-1.73808211782147,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.213","Australia",2013,"Chronic liver diseases and cirrhosis",1257,NA,0,5.43494028418814e-05,-0.0427748967161886,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.214","Australia",2014,"Chronic liver diseases and cirrhosis",1289,NA,0,5.49078736186879e-05,0.073852308441929,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.215","Australia",2015,"Chronic liver diseases and cirrhosis",1356,NA,0,5.693652522181e-05,0.497501989925021,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.216","Australia",2016,"Chronic liver diseases and cirrhosis",1267,NA,0,5.23750515017895e-05,-0.455084883841818,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.217","Australia",2017,"Chronic liver diseases and cirrhosis",1402,NA,0,5.69875611031036e-05,0.508159973198727,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.218","Australia",2018,"Chronic liver diseases and cirrhosis",1419,NA,0,5.67993324017015e-05,0.468851582703172,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.219","Australia",2019,"Chronic liver diseases and cirrhosis",1513,NA,0,5.96473708933051e-05,1.06361639986672,4.78851204613278e-06
"Chronic liver diseases and cirrhosis.220","Australia",2020,"Chronic liver diseases and cirrhosis",1606,NA,1,6.25066481424881e-05,1.66072824204995,4.78851204613278e-06
"Chronic obstructive Pulmonary diseases.188","Australia",2010,"Chronic obstructive Pulmonary diseases",5417,NA,0,0.000245872434100786,-1.50379095681193,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.189","Australia",2011,"Chronic obstructive Pulmonary diseases",5874,NA,0,0.000262936154410577,-0.757061930523579,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.190","Australia",2012,"Chronic obstructive Pulmonary diseases",5922,NA,0,0.000260497024980574,-0.863801182643915,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.191","Australia",2013,"Chronic obstructive Pulmonary diseases",6464,NA,0,0.000279486507533748,-0.0327984728470794,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.192","Australia",2014,"Chronic obstructive Pulmonary diseases",7029,NA,0,0.000299416170415638,0.83934766456408,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.193","Australia",2015,"Chronic obstructive Pulmonary diseases",7194,NA,0,0.000302065901508629,0.955303100018566,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.194","Australia",2016,"Chronic obstructive Pulmonary diseases",7226,NA,0,0.000298707278730806,0.808325707572981,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.195","Australia",2017,"Chronic obstructive Pulmonary diseases",7540,NA,0,0.000306480892095151,1.14850842464252,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.196","Australia",2018,"Chronic obstructive Pulmonary diseases",7129,NA,0,0.000285357604433918,0.224127824110164,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.197","Australia",2019,"Chronic obstructive Pulmonary diseases",7512,NA,0,0.000296147422439199,0.696303302061984,2.28512883644109e-05
"Chronic obstructive Pulmonary diseases.198","Australia",2020,"Chronic obstructive Pulmonary diseases",6311,NA,1,0.000245628553192554,-1.51446348014378,2.28512883644109e-05
"Congenital malformations, deformations a.265","Australia",2010,"Congenital malformations, deformations a",610,NA,0,2.76873148978179e-05,1.65892019086274,1.22477834780788e-06
"Congenital malformations, deformations a.266","Australia",2011,"Congenital malformations, deformations a",550,NA,0,2.46194901133499e-05,-0.845879791892368,1.22477834780788e-06
"Congenital malformations, deformations a.267","Australia",2012,"Congenital malformations, deformations a",550,NA,0,2.41934082639844e-05,-1.19376465622568,1.22477834780788e-06
"Congenital malformations, deformations a.268","Australia",2013,"Congenital malformations, deformations a",622,NA,0,2.68936583672635e-05,1.01092005926758,1.22477834780788e-06
"Congenital malformations, deformations a.269","Australia",2014,"Congenital malformations, deformations a",620,NA,0,2.64103038352106e-05,0.616273523493966,1.22477834780788e-06
"Congenital malformations, deformations a.270","Australia",2015,"Congenital malformations, deformations a",589,NA,0,2.47312782858747e-05,-0.754607626014485,1.22477834780788e-06
"Congenital malformations, deformations a.271","Australia",2016,"Congenital malformations, deformations a",594,NA,0,2.45546808145722e-05,-0.898794916407535,1.22477834780788e-06
"Congenital malformations, deformations a.272","Australia",2017,"Congenital malformations, deformations a",642,NA,0,2.60955878945738e-05,0.359316057516498,1.22477834780788e-06
"Congenital malformations, deformations a.273","Australia",2018,"Congenital malformations, deformations a",639,NA,0,2.55777120540432e-05,-0.0635162381862657,1.22477834780788e-06
"Congenital malformations, deformations a.274","Australia",2019,"Congenital malformations, deformations a",685,NA,0,2.70049233720516e-05,1.10176507215272,1.22477834780788e-06
"Congenital malformations, deformations a.275","Australia",2020,"Congenital malformations, deformations a",628,NA,1,2.44422011416454e-05,-0.99063167456717,1.22477834780788e-06
"Dementia.441","Australia",2010,"Dementia",6297,NA,0,0.00028581479001895,-1.78147636823791,3.92714128534585e-05
"Dementia.442","Australia",2011,"Dementia",6877,NA,0,0.000307833151835468,-1.22080487167934,3.92714128534585e-05
"Dementia.443","Australia",2012,"Dementia",7321,NA,0,0.000322036258001145,-0.859139600845413,3.92714128534585e-05
"Dementia.444","Australia",2013,"Dementia",7604,NA,0,0.00032877713540944,-0.687491144156351,3.92714128534585e-05
"Dementia.445","Australia",2014,"Dementia",8332,NA,0,0.00035492040573383,-0.0217837395884551,3.92714128534585e-05
"Dementia.446","Australia",2015,"Dementia",8802,NA,0,0.000369583550886705,0.351595879005605,3.92714128534585e-05
"Dementia.447","Australia",2016,"Dementia",9140,NA,0,0.000377827916911094,0.561528891987676,3.92714128534585e-05
"Dementia.448","Australia",2017,"Dementia",9452,NA,0,0.000384198593114504,0.723750613604432,3.92714128534585e-05
"Dementia.449","Australia",2018,"Dementia",9655,NA,0,0.000386467621098258,0.78152872289275,3.92714128534585e-05
"Dementia.450","Australia",2019,"Dementia",10438,NA,0,0.000411499839645948,1.41894451032819,3.92714128534585e-05
"Dementia.451","Australia",2020,"Dementia",9881,NA,1,0.000384575460956367,0.733347106688816,3.92714128534585e-05
"Diabetes mellitus.89","Australia",2010,"Diabetes mellitus",3946,NA,0,0.000179105155060311,-1.74612404932859,6.85590793502591e-06
"Diabetes mellitus.90","Australia",2011,"Diabetes mellitus",4211,NA,0,0.000188495768849666,-0.376412863246235,6.85590793502591e-06
"Diabetes mellitus.91","Australia",2012,"Diabetes mellitus",4241,NA,0,0.000186553171722832,-0.659759306232954,6.85590793502591e-06
"Diabetes mellitus.92","Australia",2013,"Diabetes mellitus",4333,NA,0,0.000187347623320503,-0.543880912707311,6.85590793502591e-06
"Diabetes mellitus.93","Australia",2014,"Diabetes mellitus",4357,NA,0,0.00018559628033873,-0.799331102291319,6.85590793502591e-06
"Diabetes mellitus.94","Australia",2015,"Diabetes mellitus",4690,NA,0,0.00019692647735272,0.853286920203677,6.85590793502591e-06
"Diabetes mellitus.95","Australia",2016,"Diabetes mellitus",4783,NA,0,0.000197718919757742,0.968872253690032,6.85590793502591e-06
"Diabetes mellitus.96","Australia",2017,"Diabetes mellitus",4865,NA,0,0.00019774927586776,0.97329998380328,6.85590793502591e-06
"Diabetes mellitus.97","Australia",2018,"Diabetes mellitus",4651,NA,0,0.000186168918252512,-0.715806364326865,6.85590793502591e-06
"Diabetes mellitus.98","Australia",2019,"Diabetes mellitus",4967,NA,0,0.000195815261881723,0.691205474313705,6.85590793502591e-06
"Diabetes mellitus.99","Australia",2020,"Diabetes mellitus",5148,NA,1,0.000200363776237564,1.35464996612258,6.85590793502591e-06
"Diseases of the blood and blood-forming .67","Australia",2010,"Diseases of the blood and blood-forming ",404,NA,0,1.83371724897024e-05,-1.82175955755837,1.39205980448908e-06
"Diseases of the blood and blood-forming .68","Australia",2011,"Diseases of the blood and blood-forming ",463,NA,0,2.07251344045109e-05,-0.106343375647275,1.39205980448908e-06
"Diseases of the blood and blood-forming .69","Australia",2012,"Diseases of the blood and blood-forming ",434,NA,0,1.9090798521035e-05,-1.28038480562435,1.39205980448908e-06
"Diseases of the blood and blood-forming .70","Australia",2013,"Diseases of the blood and blood-forming ",502,NA,0,2.17051712224538e-05,0.597675815757075,1.39205980448908e-06
"Diseases of the blood and blood-forming .71","Australia",2014,"Diseases of the blood and blood-forming ",535,NA,0,2.27895363739317e-05,1.37664030275761,1.39205980448908e-06
"Diseases of the blood and blood-forming .72","Australia",2015,"Diseases of the blood and blood-forming ",525,NA,0,2.20440086588866e-05,0.841083056839742,1.39205980448908e-06
"Diseases of the blood and blood-forming .73","Australia",2016,"Diseases of the blood and blood-forming ",491,NA,0,2.02968826261868e-05,-0.413982298158464,1.39205980448908e-06
"Diseases of the blood and blood-forming .74","Australia",2017,"Diseases of the blood and blood-forming ",538,NA,0,2.18682652449855e-05,0.714836028275076,1.39205980448908e-06
"Diseases of the blood and blood-forming .75","Australia",2018,"Diseases of the blood and blood-forming ",492,NA,0,1.96936374500614e-05,-0.847329467712549,1.39205980448908e-06
"Diseases of the blood and blood-forming .76","Australia",2019,"Diseases of the blood and blood-forming ",558,NA,0,2.19981711556274e-05,0.80815523067065,1.39205980448908e-06
"Diseases of the blood and blood-forming .77","Australia",2020,"Diseases of the blood and blood-forming ",541,NA,1,2.10561000280735e-05,0.131409070400862,1.39205980448908e-06
"Diseases of the circulatory system.122","Australia",2010,"Diseases of the circulatory system",45520,NA,0,0.00206610913794864,1.42105529716025,0.00015321433783314
"Diseases of the circulatory system.123","Australia",2011,"Diseases of the circulatory system",45637,NA,0,0.00204283576418718,1.26915454106517,0.00015321433783314
"Diseases of the circulatory system.124","Australia",2012,"Diseases of the circulatory system",44038,NA,0,0.00193714420568972,0.579326421894176,0.00015321433783314
"Diseases of the circulatory system.125","Australia",2013,"Diseases of the circulatory system",43615,NA,0,0.00188579889017395,0.24420559546288,0.00015321433783314
"Diseases of the circulatory system.126","Australia",2014,"Diseases of the circulatory system",45069,NA,0,0.00191981610249856,0.466229283361164,0.00015321433783314
"Diseases of the circulatory system.127","Australia",2015,"Diseases of the circulatory system",45642,NA,0,0.00191644312992172,0.444214551420643,0.00015321433783314
"Diseases of the circulatory system.128","Australia",2016,"Diseases of the circulatory system",44186,NA,0,0.00182655408497085,-0.142473654279536,0.00015321433783314
"Diseases of the circulatory system.129","Australia",2017,"Diseases of the circulatory system",43705,NA,0,0.00177649169615631,-0.469221069192278,0.00015321433783314
"Diseases of the circulatory system.130","Australia",2018,"Diseases of the circulatory system",42169,NA,0,0.00168792885697488,-1.04725338936508,0.00015321433783314
"Diseases of the circulatory system.131","Australia",2019,"Diseases of the circulatory system",43249,NA,0,0.00170501595754432,-0.935729227781394,0.00015321433783314
"Diseases of the circulatory system.132","Australia",2020,"Diseases of the circulatory system",40289,NA,1,0.00156807618120343,-1.829508349746,0.00015321433783314
"Diseases of the digestive system.199","Australia",2010,"Diseases of the digestive system",5120,NA,0,0.000232391888978406,-0.888942986493648,7.6178817623837e-06
"Diseases of the digestive system.200","Australia",2011,"Diseases of the digestive system",5210,NA,0,0.000233213715437369,-0.781061755910469,7.6178817623837e-06
"Diseases of the digestive system.201","Australia",2012,"Diseases of the digestive system",5255,NA,0,0.000231157018958615,-1.0510444811492,7.6178817623837e-06
"Diseases of the digestive system.202","Australia",2013,"Diseases of the digestive system",5422,NA,0,0.000234433144159651,-0.620987241719015,7.6178817623837e-06
